title,id,genres,runtime_seconds,number_of_writers
The Matrix Reloaded (2003),tt0234215,"['Action', 'Sci-Fi']",8280.0,2.0
Once Upon a Time in the West (1968),tt0064116,"['Drama', 'Western']",9960.0,3.0
Star Wars: Episode V - The Empire Strikes Back (1980),tt0080684,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",7440.0,3.0
War Games (1983),,,,
Kill Bill: Vol. 2 (2004),tt0378194,"['Action', 'Crime', 'Thriller']",8220.0,2.0
Saving Private Ryan (1998),tt0120815,"['Drama', 'War']",10140.0,1.0
Just Married (2003),tt0305711,"['Comedy', 'Romance']",5700.0,1.0
Being John Malkovich (1999),tt0120601,"['Comedy', 'Drama', 'Fantasy']",6780.0,1.0
Father's Day (1997),,,,
Batman (1989),tt0096895,"['Action', 'Adventure']",7560.0,3.0
Se7en (1995),tt0114369,"['Crime', 'Drama', 'Mystery', 'Thriller']",7620.0,1.0
Happy Gilmore (1996),tt0116483,"['Comedy', 'Sport']",5520.0,2.0
My Big Fat Greek Wedding (2002),tt0259446,"['Comedy', 'Drama', 'Romance']",5700.0,1.0
Boomerang (1992),tt0103859,"['Comedy', 'Drama', 'Romance']",7020.0,3.0
The Avengers (2012),tt0848228,"['Action', 'Sci-Fi']",8580.0,2.0
In America (2002),tt0298845,['Drama'],6300.0,3.0
Tarzan (1999),tt0120855,"['Animation', 'Adventure', 'Comedy']",5280.0,3.0
Scent of a Woman (1992),tt0105323,['Drama'],9360.0,3.0
The Cabin in the Woods (2012),,,,
Spider-Man (2002),tt0145487,"['Action', 'Adventure', 'Sci-Fi']",7260.0,3.0
Broken Arrow (1996),tt0115759,"['Action', 'Adventure', 'Thriller']",6480.0,1.0
Baby Geniuses (1999),tt0118665,"['Comedy', 'Crime', 'Family', 'Sci-Fi']",5820.0,3.0
Battlefield Earth (2000),tt0185183,"['Action', 'Adventure', 'Sci-Fi']",7020.0,3.0
The Firm (1993),tt0106918,"['Drama', 'Mystery', 'Thriller']",9240.0,3.0
De-Lovely (2004),tt0352277,"['Biography', 'Drama', 'Music']",7500.0,1.0
Die Hard (1988),tt0095016,"['Action', 'Thriller']",7920.0,3.0
The Lord of the Rings: The Two Towers (2002),tt0167261,"['Adventure', 'Drama', 'Fantasy']",10740.0,3.0
The Blair Witch Project (1999),tt0185937,"['Horror', 'Mystery']",4860.0,3.0
Judge Dredd (1995),tt0113492,"['Action', 'Crime', 'Sci-Fi', 'Thriller']",5760.0,3.0
10 Things I Hate About You (1999),tt0147800,"['Comedy', 'Drama', 'Romance']",5820.0,3.0
The Insider (1999),tt0140352,"['Biography', 'Drama', 'History', 'Thriller']",9420.0,3.0
Erik the Viking (1989),tt0097289,"['Adventure', 'Comedy', 'Fantasy']",6420.0,1.0
Pirates of the Caribbean: At World's End (2007),tt0449088,"['Action', 'Adventure', 'Fantasy']",10140.0,3.0
The Ring (2002),tt0298130,"['Horror', 'Mystery']",6900.0,3.0
The Truman Show (1998),tt0120382,"['Comedy', 'Drama']",6180.0,1.0
Forrest Gump (1994),tt0109830,"['Drama', 'Romance']",8520.0,2.0
I.Q. (1994),tt0110099,"['Comedy', 'Romance']",6000.0,2.0
Goodfellas (1990),tt0099685,"['Biography', 'Crime', 'Drama']",8700.0,2.0
Uptown Girls (2003),tt0263757,"['Comedy', 'Drama', 'Romance']",5520.0,3.0
Beauty and the Beauty (1991),,,,
Black Hawk Down (2001),tt0265086,"['Action', 'Drama', 'History']",8640.0,2.0
Knight and Day (2010),tt1013743,"['Action', 'Adventure', 'Comedy']",6540.0,1.0
The Shawshank Redemption (1994),tt0111161,['Drama'],8520.0,2.0
Sleepy Hollow (1999),tt0162661,"['Fantasy', 'Horror', 'Mystery']",6300.0,3.0
The Holiday (2006),tt0457939,"['Comedy', 'Romance']",8160.0,1.0
Sixteen Candles (1984),tt0088128,"['Comedy', 'Romance']",5580.0,1.0
10000 BC (2008),,,,
Austin Powers: The Spy Who Shagged Me (1999),tt0145660,"['Action', 'Adventure', 'Comedy']",5700.0,2.0
The Lion King (1994),tt0110357,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",5280.0,3.0
Child's Play (1988),tt0094862,"['Horror', 'Thriller']",5220.0,3.0
Anger Management (2002),,,,
Angels in the Outfield (1994),tt0109127,"['Comedy', 'Drama', 'Family']",6120.0,3.0
Wild Wild West (1999),tt0120891,"['Action', 'Comedy', 'Sci-Fi']",6360.0,3.0
Split (2016),tt4972582,"['Horror', 'Thriller']",7020.0,1.0
Bad Boys (1995),tt0112442,"['Action', 'Comedy', 'Crime', 'Thriller']",7140.0,3.0
The Prestige (2006),tt0482571,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",7800.0,3.0
American Graffiti (1973),tt0069704,"['Comedy', 'Drama']",6600.0,3.0
Air Force One (1997),tt0118571,"['Action', 'Crime', 'Drama', 'Thriller']",7440.0,1.0
Harry Potter and the Sorcerer's Stone (2001),tt0241527,"['Adventure', 'Family', 'Fantasy']",9120.0,2.0
Close Encounters of the Third Kind (1977),tt0075860,"['Drama', 'Sci-Fi']",8280.0,3.0
Hollow Man (2000),tt0164052,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",6720.0,2.0
Point Break (1991),tt0102685,"['Action', 'Crime', 'Thriller']",7320.0,2.0
I Robot (2004),,,,
Batman: The Dark Knight (2008),,,,
Ghost (1990),tt0099653,"['Drama', 'Fantasy', 'Romance', 'Thriller']",7560.0,1.0
A Bug's Life (1998),tt0120623,"['Animation', 'Adventure', 'Comedy', 'Family']",5700.0,3.0
American Pie (1999),tt0163651,['Comedy'],5700.0,1.0
Daredevil (2003),tt0287978,"['Action', 'Crime', 'Drama']",6180.0,1.0
The Bandit (1996),tt0116231,"['Crime', 'Drama']",7680.0,1.0
Grease (1978),tt0077631,"['Comedy', 'Musical', 'Romance']",6600.0,3.0
The Girl Next Door (2004),tt0265208,"['Comedy', 'Drama', 'Romance']",6540.0,3.0
The Godfather (1972),tt0068646,"['Crime', 'Drama']",10500.0,2.0
Cloverfield (2008),tt1060277,"['Action', 'Horror', 'Sci-Fi']",5100.0,1.0
Rush Hour 2 (2001),tt0266915,"['Action', 'Comedy', 'Crime', 'Thriller']",5400.0,2.0
Bruce Almighty (2003),tt0315327,"['Comedy', 'Fantasy']",6060.0,3.0
Girl With a Pearl Earring (2003),tt0335119,"['Biography', 'Drama', 'Romance']",6000.0,2.0
Grown Ups 2 (2013),tt2191701,['Comedy'],6060.0,3.0
Best Laid Plans (1999),tt0133412,"['Crime', 'Drama', 'Thriller']",5520.0,1.0
Bram Stoker's Dracula (1992),tt0103874,"['Fantasy', 'Horror', 'Romance']",7680.0,2.0
Fahrenheit 9/11 (2004),tt0361596,"['Documentary', 'Drama', 'War']",7320.0,1.0
Donnie Darko (2001),tt0246578,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",6780.0,1.0
Bad Teacher (2011),tt1284575,"['Comedy', 'Romance']",5520.0,2.0
Cable Guy (1996),,,,
Ice Age (2002),tt0268380,"['Animation', 'Adventure', 'Comedy', 'Family']",4860.0,3.0
Misery (1990),tt0100157,"['Drama', 'Thriller']",6420.0,2.0
8 Mile (2002),tt0298203,"['Drama', 'Music']",6600.0,1.0
Harry Potter and the Deathly Hallows: Part 2 (2011),tt1201607,"['Adventure', 'Family', 'Fantasy', 'Mystery']",7800.0,2.0
Ouija: Origin of Evil (2016),tt4361050,"['Drama', 'Horror', 'Mystery']",5940.0,3.0
The Deer Hunter (1978),tt0077416,"['Drama', 'War']",10980.0,3.0
There's Something About Mary (1998),tt0129387,"['Comedy', 'Romance']",7140.0,3.0
Zoolander (2001),tt0196229,['Comedy'],5400.0,3.0
The Core (2003),tt0298814,"['Action', 'Adventure', 'Sci-Fi']",8100.0,2.0
Spirited Away (2001),tt0245429,"['Animation', 'Adventure', 'Family']",7440.0,1.0
Rocky (1976),tt0075148,"['Drama', 'Sport']",7200.0,1.0
Traffic (2000),tt0181865,"['Crime', 'Drama', 'Thriller']",8820.0,2.0
Monsters  Inc.(2001),,,,
Thoroughly Modern Millie (1967),tt0062362,"['Comedy', 'Musical', 'Romance']",8280.0,1.0
Requiem for a Dream (2000),tt0180093,['Drama'],6120.0,2.0
Downfall (2004),tt0363163,"['Biography', 'Drama', 'History', 'War']",9360.0,3.0
L.A. Confidential (1997),tt0119488,"['Crime', 'Drama', 'Mystery', 'Thriller']",8280.0,3.0
Chicago (2002),tt0299658,"['Comedy', 'Crime', 'Musical']",6780.0,3.0
Star Wars: Episode 1 - The Phantom Menace (1999),,,,
Rain Man (1988),tt0095953,['Drama'],7980.0,2.0
What Lies Beneath (2000),tt0161081,"['Drama', 'Horror', 'Mystery']",7800.0,2.0
Toy Story (1995),tt0114709,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",4860.0,3.0
Boy's Don't Cry (1999),,,,
Pearl Harbor (2001),tt0213149,"['Action', 'Drama', 'Romance', 'War']",10980.0,1.0
A.I. Artificial Intelligence (2001),tt0212720,"['Adventure', 'Drama', 'Sci-Fi']",8760.0,3.0
The Sting (1973),tt0070735,"['Comedy', 'Crime', 'Drama']",7740.0,1.0
